"meaning_id","unit_id","full_entry","meaning","article_gender","meaning_gender","gendered","comment","suffix","suffix_bVc","suffix_ak","deverbal","infinitive","russian_borrowing","human","sex=f","sex=m","ind_spec","mass_abstr","large","small","animal","water","tree","fruit","tech_transport","cultural_product","household_object","food","drink","plant","event","pos","neg","weather","body_part","building","landscape","diary_product","sickness","meanings_concatenated","meaning_with_examples","label_id","forms_id","gloss_id","gloss","form","all_forms","source"
1346,752,"АWОБАЛАНДИ м. высокомерие, чванство; самонадеянность; ш. лап аwобаланди мā-к не проявляй большой самонадеянности.","высокомерие, чванство; самонадеянность","m","m",0,,"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"высокомерие, чванство; самонадеянность","высокомерие, чванство; самонадеянность; не проявляй большой самонадеянности",,4018,20,"word","awobalandi","awobalandi",2
1347,753,"АWО-БУЦАК м. небольшой дождь или снег при солнце; слепой дождь; ш. ар wахт ди аwо-буцак δод, тā́м-та аwо ких̌т когда выпадает снежок при солнце, тут же (погода) проясняется; б. аwо-буцак ди δод, во́-та аwо ких̌т если пойдет слепой дождь, быть погожему (дню).","небольшой дождь или снег при солнце; слепой дождь","m","m",0,,"bucak",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"небольшой дождь или снег при солнце; слепой дождь","небольшой дождь или снег при солнце; слепой дождь; когда выпадает снежок при солнце, тут же (погода) проясняется; если пойдет слепой дождь, быть погожему (дню)",,4019,20,"word","awo-bucak","awo-bucak",2
1348,754,"АWОГИ, АWОЙИ м. погода, ясная погода, погожие дни; ш. ға́л-ат на́-тӯйҷ? – пи ми аwогê-м гӣр ты еще не уехал? – Жду погоды; б. аwойи ве́д-ат, ху сếр-та сабо зếзум если выпадет погожий денек, я соберу завтра свой умолот.","погода, ясная погода, погожие дни","m","m",0,,"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"погода, ясная погода, погожие дни","погода, ясная погода, погожие дни; ты еще не уехал? – Жду погоды; если выпадет погожий денек, я соберу завтра свой умолот",,4020,20,"word","awogi","awogi awoyi",2
1360,765,"АWОПАЙМОЙИ м. воздухоплавание.","воздухоплавание","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"воздухоплавание","воздухоплавание",,4037,20,"word","awopaymoyi","awopaymoyi",2
1362,767,"АWОХОЙИ м. хвастовство, бахвальство; ш. к-у wи аwохо-йи му-рд на́-форт мне не нравится его бахвальство; аwохойи ч. хвастаться, бахвалиться; ш. ту чиз ду̊нд аwохойи ки́ни? что ты так хвастаешься?","хвастовство, бахвальство","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"хвастовство, бахвальство","хвастовство, бахвальство; мне не нравится его бахвальство",,4039,20,"word","awoxoyi","awoxoyi",2
1368,773,"АWȤ, АWЗ 1. ж. бассейн, пруд, водоем; ш. wев чӣд хез ғулā аwз вад возле их дома был большой пруд;","бассейн, пруд, водоем","f","f",0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"бассейн, пруд, водоем; глубокий (о воде); глубоко","бассейн, пруд, водоем; возле их дома был большой пруд",,4045,20,"word","awʒ","awʒ awz",2
1378,782,"АWҚОТWОРИ м. продукты питания, провизия, провиант; ш. пис аwқотwорê-м wи римод я послал его за продуктами.","продукты питания, провизия, провиант","m","m",0,,"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"продукты питания, провизия, провиант","продукты питания, провизия, провиант; я послал его за продуктами",,4058,20,"word","awqotwori","awqotwori",2
1397,798,"АДАБ м. благонравие, воспитанность, учтивость, вежливость; ш. пуц ту-нд гандā, адаб ди-нд нист сын у тебя нехороший, нет в нем учтивости; адаб δ. (δāδ) учить вежливости, призывать к спокойствию; ш. дāδ бачгалā лап хах̌ садо́йен, адаδ дев δет ребятишки слишком галдят, образумьте их.","благонравие, воспитанность, учтивость, вежливость","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"благонравие, воспитанность, учтивость, вежливость","благонравие, воспитанность, учтивость, вежливость; сын у тебя нехороший, нет в нем учтивости",,4079,20,"word","adab","adab",2
1400,801,"АДАБИЙОТ ж. литература.","литература","f","f",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"литература","литература",,4082,20,"word","adabiyot","adabiyot",2
1404,805,"АДĀƔ̌Ȥ, АДĀХ̌Ц ж. железная накладка в верхнем жернове водяной мельницы, передающая ему вращательное движение вала.","железная накладка в верхнем жернове водяной мельницы, передающая ему вращательное движение вала","f","f",0,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"железная накладка в верхнем жернове водяной мельницы, передающая ему вращательное движение вала","железная накладка в верхнем жернове водяной мельницы, передающая ему вращательное движение вала",,4087,20,"word","adāɣ̌ʒ","adāɣ̌ʒ adāx̌c",2
1411,811,"А́ДЛИ 1 м. справедливость, правосудие.","справедливость, правосудие","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"справедливость, правосудие","справедливость, правосудие",,4097,20,"word","adli","adli",2
1431,826,"АЖДАР, АЖДА(Ҳ)ОР, АЖДУ(Ҳ)ОР ж. сказочное чудовище, дракон. Ср. аɣ̌дал.","сказочное чудовище, дракон","f","f",0,"animal",,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"сказочное чудовище, дракон","сказочное чудовище, дракон",,4115,20,"word","aždar","aždar aždahor aždaor ažduhor ažduor",2
1465,854,"АЗӢЗ 1. дорогой, милый, любимый; ш. йу му-рд лап азӣз вуд он был мне очень дорог; 2. имя собств. муж. и жен. или его компонент, напр. м. Азӣз, Азӣзбек, Азӣзшо, Миразӣз; ж. Азӣзмо, Мо(а)зӣз, Азӣзā.","дорогой, милый, любимый","fm",,0,"abstr human",,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"дорогой, милый, любимый","дорогой, милый, любимый; он был мне очень дорог",,4245,20,"word","azīz","azīz",2
1476,865,"АЗОЙИМ ж. заклинания, молитвы (муллы у постели больного); азойим ч. читать молитву.","заклинания, молитвы (муллы у постели больного)","f","f",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"заклинания, молитвы (муллы у постели больного)","заклинания, молитвы (муллы у постели больного)",,4257,20,"word","azoyim","azoyim",2
1518,903,"АЙБ м. 1) изъян, недостаток, дефект; порок; ш. ди ту чӣд wӯ́с-анд а́чаθ айб нист эта балка от твоего дома совсем без дефектов; 2) вина; грех; ш. ас ху айб мункир сā́wи ты отрицаешь свою вину; ш. ас пех̌цтоw и́-чӣз айб нист спрашивать не грех; ш. а́чаθ а́йби wи нист (в этом) никакой его вины нет; б. айб ас wим йи́-чӣз-аθ на́-вуд она была ни в чем не виновата; айб ч. совершать проступки, грешить; ш. чӣз а́йб-ум чӯд иди, пи му ца лу̊ви? я в чем провинился, что ты ругаешь меня?; б. йу ғиδā йи́-чӣз а́йб-и на́-чӯɣ̌ҷат парень не сделал ничего дурного.","изъян, недостаток, дефект; порок","m","m",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"изъян, недостаток, дефект; порок; вина; грех","изъян, недостаток, дефект; порок; эта балка от твоего дома совсем без дефектов",,4339,20,"word","ayb","ayb",2
1526,909,"АЙБНУ̊МĀ ж. обвинительное заключение, обвинительный акт; ш. wи́-рд-ен wам айбну̊мā х̌êйт ему зачитали обвинительное заключение.","обвинительное заключение, обвинительный акт","f","f",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"обвинительное заключение, обвинительный акт","обвинительное заключение, обвинительный акт; ему зачитали обвинительное заключение",,4345,20,"word","aybnůmā","aybnůmā",2
1528,911,"АЙБПӮХ̌И, АЙБПӮШИ м. сокрытие недостатков, вины; укрывательство.","сокрытие недостатков, вины; укрывательство","m","m",0,,"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"сокрытие недостатков, вины; укрывательство","сокрытие недостатков, вины; укрывательство",,4348,20,"word","aybpūx̌i","aybpūx̌i aybpūši",2
1530,913,"шб. АЙWУ̊НГАРИ, АЙWУ̊НИ, ш. тж. ЕWУ̊НИ 1. м. скотство; зверство; 2. по-скотски; (по-)зверски; б. дух̌ма́н-та айwу̊н-гари ких̌т враги действуют по-зверски.","скотство; зверство","m","m",0,,"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"скотство; зверство; по-скотски; (по-)зверски","скотство; зверство",,4352,20,"word","aywůngari","aywůngari aywůni ewůni",2
1534,916,"АЙWУ̊НОТ м. животные; скот.","животные; скот","m","m",0,"mass animal",,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"животные; скот","животные; скот",,4357,20,"word","aywůnot","aywůnot",2
1535,917,"АЙД, ĀЙД, (Й)ӢД ж. праздник; ш. мам а́йд-ард-та йа́дум к празднику я приеду; б. пи Помер ми а́йд-ирд ɣ̌иникен ху-рд наw пух̌ок ки́нен на Памире женщины к праздникам шьют себе новый наряд; б. йам āйд ту-рд муборак вед! с праздником тебя!; айд ч. праздновать. Ср. айу̊м.","праздник","f","f",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"праздник","праздник; к празднику я приеду; на Памире женщины к праздникам шьют себе новый наряд; с праздником тебя!",,4358,20,"word","ayd","ayd āyd yīd īd",2
1537,919,"ш. АЙКАЛ, шб. (Й)ЕКАЛ 1. м. памятник; Ленин айкал, айка́ли Ленин памятник Ленину; 2) ж. уст. амулет (чаще йекал).","памятник","fm","m",0,"fluid_by_meaning",,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"памятник","памятник; памятник Ленину",,4363,20,"word","aykal","aykal ekal yekal",2
1538,919,"ш. АЙКАЛ, шб. (Й)ЕКАЛ 1. м. памятник; Ленин айкал, айка́ли Ленин памятник Ленину; 2) ж. уст. амулет (чаще йекал).","амулет (чаще йекал)","fm","f",0,"fluid_by_meaning",,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"амулет (чаще йекал)","амулет (чаще йекал)","15.0",4363,20,"word","aykal","aykal ekal yekal",2
1540,921,"шб. АЙМУ̊Н, (Й)ЕМУ̊Н, ш. тж. АЙМУН, ЙЕМУН м. рел. вера, верование; ху айму̊н х̌êйтоw совершать молитву, молиться.","вера, верование","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"вера, верование","вера, верование",,4368,20,"word","aymůn","aymůn emůn emůn aymun yemun",2
1549,928,"АЙОРИ м. хитрость; ловкость; б. му-рд айори на́-писӯδҷ мне хитрость не к лицу; айори ч. хитрить; ловчить; ш. лап айори ца ки́ни, ар қандāқ δи́йи если слишком хитришь, (сам) попадешь в яму (ловушку). Ср. wух̌йори.","хитрость; ловкость","m","m",0,,"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"хитрость; ловкость","хитрость; ловкость; мне хитрость не к лицу",,4381,20,"word","ayori","ayori",2
1554,932,"АЙОТИ 1. м. память; мысль; ш. а́чаθ му айоти́-рā-θ на́-вуд, ат ба-но́кāф-анд-ум йат у меня даже и в мыслях не было, я и зашел случайно; 2. жизненный, реальный; деловой; ш. ик-ид айоти гāп это деловой разговор.","память; мысль","m","m",0,,"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"память; мысль; жизненный, реальный; деловой","память; мысль; у меня даже и в мыслях не было, я и зашел случайно",,4385,20,"word","ayoti","ayoti",2
1567,944,"АЙУ̊М ж. 1. праздник, празднество; ш. йаку́ми мāй айу̊́м-анд-āм қатêθ вад мы вместе были на празднике Первого Мая; б. қадӣ́м-ен мā́ш-инд ар-рангāҷ-аθ кӣнā айу̊мен вад в прошлом у нас отмечались всякие старинные праздники; айу̊м ч., айу̊м наɣ̌ȥимтоw праздновать, отмечать праздник; ш. айу̊́м-ет ца-рāнг наɣ̌ȥимт? как вы провели праздник?; 2. имя собств. муж. или его компонент, напр. Айу̊м, Айу̊мбек. Ср. айд.","праздник, празднество","f","f",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"праздник, празднество; имя собств. муж. или его компонент, напр. Айу̊м, Айу̊мбек","праздник, празднество; мы вместе были на празднике Первого Мая; в прошлом у нас отмечались всякие старинные праздники",,4403,20,"word","ayům","ayům",2
1568,944,"АЙУ̊М ж. 1. праздник, празднество; ш. йаку́ми мāй айу̊́м-анд-āм қатêθ вад мы вместе были на празднике Первого Мая; б. қадӣ́м-ен мā́ш-инд ар-рангāҷ-аθ кӣнā айу̊мен вад в прошлом у нас отмечались всякие старинные праздники; айу̊м ч., айу̊м наɣ̌ȥимтоw праздновать, отмечать праздник; ш. айу̊́м-ет ца-рāнг наɣ̌ȥимт? как вы провели праздник?; 2. имя собств. муж. или его компонент, напр. Айу̊м, Айу̊мбек. Ср. айд.","имя собств. муж. или его компонент, напр. Айу̊м, Айу̊мбек","f","m",0,"name",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"праздник, празднество; имя собств. муж. или его компонент, напр. Айу̊м, Айу̊мбек","имя собств. муж. или его компонент, напр. Айу̊м, Айу̊мбек",,4403,20,"word","ayům","ayům",2
1587,961,"АКАК м. дрожь (от холода); ш. зибуд ар х̌ац ху, акак wи-нд сут он прыгнул в воду, и его охватила дрожь; б. йид шитоҷах̌ ака́к-ирд му wеδд (от) холода меня дрожь пробрала; акак ч. дрожать.","дрожь (от холода)","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"дрожь (от холода)","дрожь (от холода); он прыгнул в воду, и его охватила дрожь; (от) холода меня дрожь пробрала",,4421,20,"word","akak","akak",2
1612,980,"шх., б. АЛАБИ ж. чашка (обычно из меди). Ср. тāсак.","чашка (обычно из меди)","f","f",0,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"чашка (обычно из меди)","чашка (обычно из меди)",,4449,20,"word","alabi","alabi",2
1623,991,"АЛАМ м. 1) обида, досада; ш. куртā-м ди-рд на́-зох̌т ху, алам ди-рд йат я не купил ему рубашку, и у него обида (на меня); б. мā́ш-та алам ди на́-δāδāм мы не дадим его в обиду; 2) огорчение; печаль; ш. wи-рд алам йат ху, бāд дар нӣwд сут ему взгрустнулось, и он заплакал.","огорчение; печаль","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"обида, досада; огорчение; печаль","огорчение; печаль; ему взгрустнулось, и он заплакал",,4465,20,"word","alam","alam",2
1640,1008,"АЛWО 1. ж. халва (из пережаренной в масле муки); ал-wо́йи шӣр молочная халва; ш. рӯған до́ғен, йоɣ̌ҷ ки́нен ар рӯған ху wарве́нен, даδ дӯс-дӯс х̌ӯвд ки́нен ху, су̊д алwо́йи шӣр перекаливают масло, сыплют муку в масло и варят; потом понемногу добавляют молока, и получается молочная халва; 2. имя собств. жен. или его компонент, напр. Алwо, Алwо-бегим.","халва (из пережаренной в масле муки)","f","f",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"халва (из пережаренной в масле муки); имя собств. жен. или его компонент, напр. Алwо, Алwо-бегим","халва (из пережаренной в масле муки)",,4488,20,"word","alwo","alwo",2
1641,1008,"АЛWО 1. ж. халва (из пережаренной в масле муки); ал-wо́йи шӣр молочная халва; ш. рӯған до́ғен, йоɣ̌ҷ ки́нен ар рӯған ху wарве́нен, даδ дӯс-дӯс х̌ӯвд ки́нен ху, су̊д алwо́йи шӣр перекаливают масло, сыплют муку в масло и варят; потом понемногу добавляют молока, и получается молочная халва; 2. имя собств. жен. или его компонент, напр. Алwо, Алwо-бегим.","имя собств. жен. или его компонент, напр. Алwо, Алwо-бегим","f","f",0,"name",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"халва (из пережаренной в масле муки); имя собств. жен. или его компонент, напр. Алwо, Алwо-бегим","имя собств. жен. или его компонент, напр. Алwо, Алwо-бегим",,4488,20,"word","alwo","alwo",2
1649,1014,"АЛИФ 1 ж. 1) алиф (название первой буквы арабского алфавита); ш. ас алиф тайоқ лу̊вд он алиф называет палкой (о неграмотном или малограмотном человеке); 2) имя собств. муж. или его компонент, напр. Алиф, Алифбек.","название первой буквы арабского алфавита","fm","f",0,"fluid_by_meaning",,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"название первой буквы арабского алфавита","название первой буквы арабского алфавита",,4496,20,"word","alif","alif",2
1650,1014,"АЛИФ 1 ж. 1) алиф (название первой буквы арабского алфавита); ш. ас алиф тайоқ лу̊вд он алиф называет палкой (о неграмотном или малограмотном человеке); 2) имя собств. муж. или его компонент, напр. Алиф, Алифбек.","имя собственное или его компонент, напр. Алиф, Алифбек","fm","m",0,"name",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"имя собственное или его компонент, напр. Алиф, Алифбек","имя собственное или его компонент, напр. Алиф, Алифбек",,4496,20,"word","alif","alif",2
1671,1033,"АЛМОС-ЖӢР ж. кварц.","кварц","f","f",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"кварц","кварц",,4526,20,"word","almos-žīr","almos-žīr",2
1678,1040,"АЛОW 1 м. огонь, пламя; костер; ш. мāш алоw wизуд наш костер потух; б. ас ди алоw хез δар са отойди подальше от огня; алоw δ. (δā́δ) разводить, разжигать огонь; раскладывать костер; брв. ар чāгирди́-та алоw δā́δāм ху, каш ху ка́нам, йо чой пӣ́ȥāм в очажке мы разводим огонь и согреваемся, либо кипятим чай; б. гегурд ва алоw δā́δāм дай спичку, разожжем огонь.","огонь, пламя; костер","m","m",0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"огонь, пламя; костер","огонь, пламя; костер; наш костер потух; отойди подальше от огня",,4536,20,"word","alow","alow",2
1707,1064,"АЛОҚĀ 1 м. связь; отношение, взаимоотношения; ш. то-т wи алоқā ца́рāнг? ты с ним в каких отношениях?; б. мӯ-нд wи қати башāнд алоқā вуд у меня с ним были хорошие взаимоотношения; алоқā ч., алоқā вӣстоw связываться, держать связь; заводить связи; поддерживать отношения; б. алоқā wи қати кин свяжись с ним.","связь; отношение, взаимоотношения","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"связь; отношение, взаимоотношения","связь; отношение, взаимоотношения; ты с ним в каких отношениях?; у меня с ним были хорошие взаимоотношения",,4562,20,"word","aloqā","aloqā",2
